Location,3/21/20,3/22/20,delta
"Fairfield, Connecticut, US",122,208,70.49
"Hartford, Connecticut, US",29,54,86.21
"New Haven, Connecticut, US",23,29,26.09
"Litchfield, Connecticut, US",8,12,50.00
"Middlesex, Connecticut, US",5,6,20.00
"Tolland, Connecticut, US",4,14,250.00
"Windham, Connecticut, US",2,1,-50.00
"New London, Connecticut, US",1,3,200.00
"Out of CT, Connecticut, US",0,0,0.00
