Location,3/18/20,3/19/20,delta
"New Castle, Delaware, US",17,23,35.29
"Kent, Delaware, US",1,4,300.00
"Sussex, Delaware, US",1,3,200.00
"Out of DE, Delaware, US",0,0,0.00
