Location,7/22/20,7/23/20,delta
"Fairfield, Connecticut, US",17164,17184,0.12
"New Haven, Connecticut, US",12825,12835,0.08
"Hartford, Connecticut, US",12147,12145,-0.02
"Litchfield, Connecticut, US",1530,1530,0.00
"New London, Connecticut, US",1364,1352,-0.88
"Middlesex, Connecticut, US",1362,1360,-0.15
"Tolland, Connecticut, US",946,937,-0.95
"Windham, Connecticut, US",655,655,0.00
"Out of CT, Connecticut, US",0,0,0.00
